comment_id,type,parent_id,author,text,likes,published_at
UgxbAL_DVVNkyoNiQL14AaABAg,top_level,,@rahulgiri174,"Pushkar Dhami ji Role model h baki CMs k liye. 
Kejuridin aur Akhleshudin ji kuchh sikhna chahiye 😂😂",0,1694131200
UgxnodSb3zZ84maqkrZ4AaABAg,top_level,,@WhoManish,Keep it up 👍,0,1694131200
Ugx5wy_QYly5-unYq0V4AaABAg,top_level,,@ankushjindal2895,Very good 👍,0,1694131200
UgxK2gGwGSz_s_kc61Z4AaABAg,top_level,,@shyamkoli5274,Maharashtr me bhi aise mukhy mantri ki jarurat hai 🕉,1,1694131200
UgymmMTRC4p89NTRnXl4AaABAg,top_level,,@faizzafar5697,"Kisi khush karne ke liye kisi ka ghar  girana, Unke  Dharmik Palace ko Todna Yahi to Aapka Uddaish hai kariye  Sir kariye..",0,1694131200
UgybUUM2AHrDILE2Xul4AaABAg,top_level,,@viktarmold8510,Bhadrabad me ak jngha hor hai jha par sarkari Jamin par majar bana rkhi hai Jo nherwai ki jamin hai or wo Ashi janghe banni huhi hai jiska kishi bhi addikari ko nahi patta,0,1694131200
UgwxyZsNgK7shOjkNaN4AaABAg,top_level,,@shyamkoli5274,Jay shree ram 🕉,0,1694131200
UgwM65eNqI3kgAAEf0p4AaABAg,top_level,,@MrTheriyaz29,Waqt ka wait karo khud maan jaoge islam ki sacchai ko aur musalmano se itni nafrat khole dushman hu tum hamare aur musalman islam waqt deta hai sabr sikhata hai aur karte phir sab ulta sidha hujata hai,0,1694131200
Ugz8D8bw-i-w-dOgRN94AaABAg,top_level,,@manojray8550,Nice 👍,0,1694131200
UgyXYEjrJQ4wKX2jOkt4AaABAg,top_level,,@imtiyazbm3268,agar madir ho to kya karege,0,1694131200
UgzAHKqLJjMJ28buNeJ4AaABAg,top_level,,@hardikkapadiya1981,Bhas yhi bhki thaa upra vala hidye t de,0,1694131200
Ugwkcgy_EGQm17ITkxV4AaABAg,top_level,,@RashtraDharma_Official,🙌🙌🙌,0,1694131200
Ugx2-lZSYsoBenSEhu94AaABAg,top_level,,@melodiousgupta777,"Agar itna hi hinduon ki chinta hai  to WAQF BOARD ko abolish karo aur unki jameen upne under lo
And saari mandiron ko sarkari kabze se bahar karo",0,1694131200
Ugyuv0NT3Z955pOG1pF4AaABAg,top_level,,@eastfordtaxdebt4155,"Sirf majare hi kyo?
Kyo mandir ka name nahi liya gaya?
Kab tak minorities k pi6e pade rahege?",0,1694131200
Ugx_CahWEaHg8XM1x5N4AaABAg,top_level,,@mohdaris1650,Zyada tar mandir hai avaidh roop se bane huve wo bhi todh dena itne hi imaandar ho to😅😅😅😅,0,1694131200
UgwWyizZOOHIaDy0tVl4AaABAg,top_level,,@enjoy.the9636,❤❤❤,0,1694131200
UgyBRXfH3MAVz0UcqWx4AaABAg,top_level,,@chaudharyShahab1272,एक बार मंदिर की तरफ भी देखो नहीं तो मुस्लिम जगा😊😊😊😊😊,0,1694131200
UgzZLP7uMYZ9q5v842p4AaABAg,top_level,,@vahidkhan5156,Thanx Sir … Mazaar ka Islam me koi Concept hi nahi… 👍👍👍,0,1694131200
UgyBSuzaN1ltgxN6rNJ4AaABAg,top_level,,@s.msanjusamsung7722,Jay Shri Ram 🚩🙏,0,1694131200
Ugy_7YzKNQjRNwLRAaZ4AaABAg,top_level,,@tintin5839,Jai shree Ram 🚩,0,1694131200
